GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
fitfolio,com.example.fitfolio.config,SecurityConfig,5,99,0,0,0,24,1,9,1,9
fitfolio,com.example.fitfolio.config,DataInitializer,0,276,0,0,0,46,0,4,0,4
fitfolio,com.example.fitfolio.service,RepasService,23,121,2,6,5,26,2,9,0,7
fitfolio,com.example.fitfolio.service,ActiviteService,0,139,1,7,0,30,1,9,0,6
fitfolio,com.example.fitfolio.service,UserService,10,351,5,39,0,66,6,27,1,10
fitfolio,com.example.fitfolio.service,PlanningService,146,658,21,39,33,133,22,26,1,17
fitfolio,com.example.fitfolio.entities,Utilisateur,80,236,0,0,1,74,1,34,1,34
fitfolio,com.example.fitfolio.entities,Repas,0,86,0,0,0,35,0,18,0,18
fitfolio,com.example.fitfolio.entities,Activite,0,106,0,0,0,43,0,22,0,22
fitfolio,com.example.fitfolio.entities,Planning,0,86,0,0,0,29,0,14,0,14
fitfolio,com.example.fitfolio.entities,Role,14,32,0,0,1,12,1,7,1,7
fitfolio,com.example.fitfolio.controllers,RepasController,0,67,0,2,0,17,0,9,0,8
fitfolio,com.example.fitfolio.controllers,ActiviteController,0,44,1,3,0,12,1,5,0,4
fitfolio,com.example.fitfolio.controllers,PlanningController,37,158,3,7,11,37,3,17,1,14
fitfolio,com.example.fitfolio.controllers,UserController,98,105,7,1,33,27,4,8,0,8
fitfolio,com.example.fitfolio.component,JwtUtil,0,77,0,0,0,22,0,6,0,6
fitfolio,com.example.fitfolio.component,JwtAuthenticationFilter,9,124,0,2,5,34,0,5,0,4
fitfolio,com.example.fitfolio.dto,ActiviteDto,0,17,0,0,0,7,0,5,0,5
fitfolio,com.example.fitfolio.dto,UserDto,0,17,0,0,0,7,0,5,0,5
fitfolio,com.example.fitfolio.dto,RepasDto,0,17,0,0,0,7,0,5,0,5
fitfolio,com.example.fitfolio.dto,LoginDto,0,17,0,0,0,7,0,5,0,5
fitfolio,com.example.fitfolio.dto,PlanningDto,0,17,0,0,0,7,0,5,0,5
fitfolio,com.example.fitfolio.dto,ActiviteDTO1,0,106,0,0,0,44,0,22,0,22
fitfolio,com.example.fitfolio,FitfolioApplication,0,8,0,0,0,3,0,2,0,2
